Order Date,Region,Category,Sales,Profit,Month-Year
11/9/2013,South,Furniture,261.96,41.9136,2013-11
11/9/2013,South,Furniture,731.94,219.582,2013-11
10/11/2012,South,Furniture,957.5775,-383.031,2012-10
10/11/2012,South,Office Supplies,22.368,2.5164,2012-10
6/9/2011,West,Furniture,48.86,14.1694,2011-06
6/9/2011,West,Office Supplies,7.28,1.9656,2011-06
6/9/2011,West,Technology,907.152,90.7152,2011-06
6/9/2011,West,Office Supplies,18.504,5.7825,2011-06
6/9/2011,West,Office Supplies,114.9,34.47,2011-06
6/9/2011,West,Furniture,1706.184,85.3092,2011-06
6/9/2011,West,Technology,911.424,68.3568,2011-06
12/6/2013,West,Office Supplies,407.976,132.5922,2013-12
11/11/2011,Central,Office Supplies,665.88,13.3176,2011-11
12/10/2013,Central,Office Supplies,19.46,5.0596,2013-12
12/10/2013,Central,Office Supplies,60.34,15.6884,2013-12
12/9/2013,Central,Technology,1097.544,123.4737,2013-12
12/9/2013,Central,Furniture,190.92,-147.963,2013-12
9/11/2014,Central,Technology,147.168,16.5564,2014-09
3/12/2013,Central,Technology,45.98,19.7714,2013-03
3/12/2013,Central,Office Supplies,17.46,8.2062,2013-03
12/12/2013,East,Office Supplies,15.26,6.2566,2013-12
12/12/2013,East,Technology,1029.95,298.6855,2013-12
12/5/2011,West,Office Supplies,1113.024,111.3024,2011-12
12/5/2011,West,Technology,167.968,62.988,2011-12
6/5/2013,South,Office Supplies,75.88,35.6636,2013-06
12/10/2014,Central,Office Supplies,1.248,-1.9344,2014-12
12/10/2014,Central,Furniture,9.708,-5.8248,2014-12
12/10/2014,Central,Office Supplies,27.24,2.724,2014-12
10/12/2011,West,Office Supplies,14.9,4.172,2011-10
10/12/2011,West,Office Supplies,21.39,6.2031,2011-10
9/3/2012,South,Office Supplies,200.984,62.8075,2012-09
4/6/2013,Central,Office Supplies,158.368,13.8572,2013-04
11/7/2014,West,Office Supplies,5.682,-3.788,2014-11
11/10/2014,East,Furniture,96.53,40.5426,2014-11
9/7/2013,Central,Office Supplies,77.88,22.5852,2013-09
12/2/2013,Central,Office Supplies,23.92,11.7208,2013-12
11/4/2013,Central,Office Supplies,75.96,22.788,2013-11
11/4/2013,Central,Office Supplies,27.24,13.3476,2013-11
3/2/2012,West,Furniture,787.53,165.3813,2012-03
4/5/2012,South,Office Supplies,157.794,-115.7156,2012-04
11/6/2014,West,Office Supplies,2.388,-1.8308,2014-11
11/6/2014,West,Office Supplies,243.992,30.499,2014-11
11/7/2013,West,Furniture,81.424,-9.1602,2013-11
11/7/2013,West,Furniture,238.56,26.2416,2013-11
2/3/2014,East,Technology,59.97,-11.994,2014-02
2/3/2014,East,Office Supplies,78.304,29.364,2014-02
2/3/2014,East,Office Supplies,21.456,6.9732,2014-02
9/6/2013,East,Furniture,82.8,10.35,2013-09
9/7/2012,West,Office Supplies,671.93,20.1579,2012-09
12/6/2013,Central,Technology,384.45,103.8015,2013-12
12/6/2013,Central,Technology,149.97,5.9988,2013-12
12/6/2013,Central,Furniture,1951.84,585.552,2013-12
12/6/2013,Central,Office Supplies,171.55,80.6285,2013-12
3/1/2011,West,Furniture,457.568,51.4764,2011-03
5/12/2013,West,Office Supplies,5.98,2.691,2013-05
11/8/2013,West,Office Supplies,27.68,9.688,2013-11
9/8/2011,Central,Office Supplies,9.936,2.7324,2011-09
9/8/2011,Central,Technology,8159.952,-1359.992,2011-09
9/8/2011,Central,Office Supplies,275.928,-58.6347,2011-09
9/8/2011,Central,Furniture,1740.06,-24.858,2011-09
9/8/2011,Central,Office Supplies,32.064,6.8136,2011-09
9/8/2011,Central,Office Supplies,177.98,-453.849,2011-09
9/8/2011,Central,Technology,143.976,8.9985,2011-09
8/5/2011,West,Office Supplies,20.94,9.8418,2011-08
8/5/2011,West,Office Supplies,110.96,53.2608,2011-08
8/5/2011,West,Furniture,340.144,21.259,2011-08
