Order Date,Region,Category,Sales,Profit
9/11/2013,South,Furniture,261.96,41.9136
9/11/2013,South,Furniture,731.94,219.582
13-06-2013,West,Office Supplies,14.62,6.8714
11/10/2012,South,Furniture,957.5775,-383.031
11/10/2012,South,Office Supplies,22.368,2.5164
9/6/2011,West,Furniture,48.86,14.1694
9/6/2011,West,Office Supplies,7.28,1.9656
9/6/2011,West,Technology,907.152,90.7152
9/6/2011,West,Office Supplies,18.504,5.7825
9/6/2011,West,Office Supplies,114.9,34.47
9/6/2011,West,Furniture,1706.184,85.3092
9/6/2011,West,Technology,911.424,68.3568
16-04-2014,South,Office Supplies,15.552,5.4432
6/12/2013,West,Office Supplies,407.976,132.5922
22-11-2012,Central,Office Supplies,68.81,-123.858
22-11-2012,Central,Office Supplies,2.544,-3.816
11/11/2011,Central,Office Supplies,665.88,13.3176
13-05-2011,West,Office Supplies,55.5,9.99
27-08-2011,West,Office Supplies,8.56,2.4824
27-08-2011,West,Technology,213.48,16.011
27-08-2011,West,Office Supplies,22.72,7.384
10/12/2013,Central,Office Supplies,19.46,5.0596
10/12/2013,Central,Office Supplies,60.34,15.6884
17-07-2014,East,Furniture,71.372,-1.0196
25-09-2012,West,Furniture,1044.63,240.2649
16-01-2013,West,Office Supplies,11.648,4.2224
16-01-2013,West,Technology,90.57,11.7741
17-09-2012,East,Furniture,3083.43,-1665.0522
17-09-2012,East,Office Supplies,9.618,-7.0532
17-09-2012,East,Furniture,124.2,15.525
17-09-2012,East,Office Supplies,3.264,1.1016
17-09-2012,East,Office Supplies,86.304,9.7092
17-09-2012,East,Office Supplies,6.858,-5.715
17-09-2012,East,Office Supplies,15.76,3.546
20-10-2014,Central,Office Supplies,29.472,9.9468
9/12/2013,Central,Technology,1097.544,123.4737
9/12/2013,Central,Furniture,190.92,-147.963
27-12-2012,Central,Office Supplies,113.328,35.415
27-12-2012,Central,Furniture,532.3992,-46.9764
27-12-2012,Central,Furniture,212.058,-15.147
27-12-2012,Central,Technology,371.168,41.7564
11/9/2014,Central,Technology,147.168,16.5564
18-07-2013,West,Office Supplies,77.88,3.894
20-09-2014,South,Office Supplies,95.616,9.5616
12/3/2013,Central,Technology,45.98,19.7714
12/3/2013,Central,Office Supplies,17.46,8.2062
20-10-2011,Central,Office Supplies,211.96,8.4784
21-06-2013,East,Technology,45,4.95
21-06-2013,East,Technology,21.8,6.104
18-04-2012,Central,Office Supplies,38.22,17.9634
18-04-2012,Central,Office Supplies,75.18,35.3346
18-04-2012,Central,Furniture,6.16,2.9568
18-04-2012,Central,Furniture,89.99,17.0981
12/12/2013,East,Office Supplies,15.26,6.2566
12/12/2013,East,Technology,1029.95,298.6855
18-06-2013,East,Office Supplies,208.56,52.14
18-06-2013,East,Office Supplies,32.4,15.552
18-06-2013,East,Furniture,319.41,7.098
18-06-2013,East,Office Supplies,14.56,6.9888
18-06-2013,East,Technology,30,3.3
18-06-2013,East,Office Supplies,48.48,16.362
18-06-2013,East,Office Supplies,1.68,0.84
24-11-2012,West,Technology,13.98,6.1512
24-11-2012,West,Office Supplies,25.824,9.3612
24-11-2012,West,Office Supplies,146.73,68.9631
24-11-2012,West,Furniture,79.76,22.3328
30-04-2012,Central,Furniture,213.115,-15.2225
5/12/2011,West,Office Supplies,1113.024,111.3024
5/12/2011,West,Technology,167.968,62.988
5/6/2013,South,Office Supplies,75.88,35.6636
19-09-2013,East,Office Supplies,4.616,1.731
15-09-2014,Central,Office Supplies,19.05,8.763
26-04-2012,South,Furniture,831.936,-114.3912
26-04-2012,South,Furniture,97.04,1.213
26-04-2012,South,Office Supplies,72.784,-18.196
10/12/2014,Central,Office Supplies,1.248,-1.9344
10/12/2014,Central,Furniture,9.708,-5.8248
10/12/2014,Central,Office Supplies,27.24,2.724
26-11-2011,Central,Furniture,19.3,-14.475
13-06-2013,South,Office Supplies,208.16,56.2032
13-06-2013,South,Office Supplies,16.74,8.0352
12/10/2011,West,Office Supplies,14.9,4.172
12/10/2011,West,Office Supplies,21.39,6.2031
3/9/2012,South,Office Supplies,200.984,62.8075
14-11-2014,Central,Office Supplies,230.376,-48.9549
29-05-2014,South,Furniture,301.96,33.2156
27-10-2014,Central,Technology,19.99,6.7966
27-10-2014,Central,Office Supplies,6.16,2.9568
6/4/2013,Central,Office Supplies,158.368,13.8572
18-09-2013,West,Office Supplies,20.1,6.633
18-09-2013,West,Technology,73.584,8.2782
18-09-2013,West,Office Supplies,6.48,3.1104
31-01-2012,Central,Office Supplies,12.96,6.2208
31-01-2012,Central,Furniture,53.34,16.5354
31-01-2012,Central,Office Supplies,32.96,16.1504
7/11/2014,West,Office Supplies,5.682,-3.788
10/11/2014,East,Furniture,96.53,40.5426
18-06-2014,West,Office Supplies,51.312,17.9592
7/9/2013,Central,Office Supplies,77.88,22.5852
30-08-2013,Central,Office Supplies,64.624,22.6184
30-08-2013,Central,Technology,95.976,-10.7973
30-08-2013,Central,Office Supplies,1.788,-3.0396
2/12/2013,Central,Office Supplies,23.92,11.7208
13-11-2012,West,Technology,238.896,-26.8758
13-11-2012,West,Furniture,102.36,-3.8385
13-11-2012,West,Office Supplies,36.882,-25.8174
24-11-2014,South,Technology,74.112,17.6016
24-11-2014,South,Technology,27.992,2.0994
24-11-2014,South,Office Supplies,3.304,1.0738
